"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP18226/2025-2026/217170-Installing community drinking water plants","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","R.O. Plant Installation Work for Public Drinking Water System near Gurunanak Vidya Sabha Girls Inter College, Lakhimpur Kheri.","11-Jul-2025","27-Sep-2025","478463","Physical Inspection"
"2","Normal/Others","WS/MP18226/2025-2026/222402-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Interlocking  construction work from Sampurna Nagar Road to Sent. N. College Gate Palika Kalan","26-Jul-2025","27-Sep-2025","1781605","Physical Inspection"
"3","Normal/Others","WS/MP18226/2025-2026/259879-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas Khand Bankeganj ke Gram Wajeernager ke gra Amjabehar Me Shri Ramesh Bhargaw ke Makan se Shri meva ke Makan tak interloking avm Nali Nirmar","19-Jan-2026","28-Mar-2026","1579800","Vendor Identification"
"4","Normal/Others","WS/MP18226/2025-2026/259880-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas Khand Bankeganj ke Gram Wajeernager ke gra Lalanganj me Kamalluddin ke Makan se Anish ke Makan tak interloking avm Nali Nirmar","19-Jan-2026","28-Mar-2026","1105200","Vendor Identification"
"5","Normal/Others","WS/MP18226/2026-2027/293823-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Mo. Patel Nager me Rohit Batham ke makan se shri Sidharth verma Adocate ke makan tak Lanth 120","16-Jul-2026","21-Jul-2026","1705100","Sanction"
"6","Normal/Others","WS/MP18226/2024-2025/170172-Construction of culverts and bridges","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Construction of rapata on drain on Padukhia-Trikoliya connecting road in village Padukhia of Gram Panchayat Gauriya","29-Jan-2025","17-Feb-2025","6798710","Physical Inspection"
"7","Normal/Others","WS/MP18226/2026-2027/286210-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand behajm ke vibhinya gram panchayate madhiya mein 2, karipokhar mein 1 evam oil dehat ke gram pahadkhopurva mein 2 sthalo par semi highmast light ka adhishthapan karya","18-Jun-2026","17-Jul-2026","789000","Sanction"
"8","Normal/Others","WS/MP18226/2026-2027/286211-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand phoolbehad ke gram mudiya mistra alg-alg 3 sthalon par 6 ve semi highmast light ka adhishthapan karya","18-Jun-2026","17-Jul-2026","473400","Sanction"
"9","Normal/Others","WS/MP18226/2026-2027/286212-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas khand nakaha ke vibhinn 22 sthalon par 6ve semi highmast lighton ka adhishthapan karya","18-Jun-2026","17-Jul-2026","3471400","Sanction"
"10","Normal/Others","WS/MP18226/2025-2026/222403-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Panchayat koraiya lohana ke gram Lakshmipur me Tirahe par Parmod Verma  ke Makan ke Pass 6th semi High Mast Light ka adhishthapan kary.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"11","Normal/Others","WS/MP18226/2025-2026/222414-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast laight near the trisection in village Ayodhyapur in Gram Panchayat Banbudheli.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"12","Normal/Others","WS/MP18226/2025-2026/222415-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha in village Amberpur of Gram Panchayat Datpur Rampur.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"13","Normal/Others","WS/MP18226/2025-2026/222416-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha of Gram Panchayat Datpur Rampur Majra Rampur.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"14","Normal/Others","WS/MP18226/2025-2026/222417-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram panchayat ramapur grant No. 18 Tirahe ke paas 6th semi High mast light ka sthapana kary.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"15","Normal/Others","WS/MP18226/2025-2026/222418-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Mataji temple in village Nauvakheda of G.P. Bharigwa","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"16","Normal/Others","WS/MP18226/2025-2026/222419-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Mataji temple in Gram Panchayat Sansarpur.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"17","Normal/Others","WS/MP18226/2025-2026/222420-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the masjid in Gram Panchayat Sansarpur.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"18","Normal/Others","WS/MP18226/2025-2026/222421-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near village Chhattipur intersection of Gram Panchayat Rampur Grant No. 18.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"19","Normal/Others","WS/MP18226/2025-2026/222422-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the intersection in Grant No. 10 of Gram Panchayat Bankepur.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"20","Normal/Others","WS/MP18226/2025-2026/222571-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the tiraha in Village Panchayat Saukhia.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"21","Normal/Others","WS/MP18226/2025-2026/222572-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the masjid in village Panchayat saukhiya.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"22","Normal/Others","WS/MP18226/2025-2026/222573-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha in village Talfipur of Gram Panchayat Rampur Grant No. 18.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"23","Normal/Others","WS/MP18226/2025-2026/222574-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the temple in village Dharampur of Gram Panchayat Grant No. 11.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"24","Normal/Others","WS/MP18226/2025-2026/222575-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Masjid in village Angadpur of Gram Panchayat Datpur Grant.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"25","Normal/Others","WS/MP18226/2025-2026/222576-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Dhyanchandra Baba Temple in Village Bujhwa of Gram Panchayat Grant No. 14.","26-Jul-2025","27-Sep-2025","179755","Physical Inspection"
"26","Normal/Others","WS/MP18226/2025-2026/222577-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near village Sarkargarh Masjid of Gram Panchayat Rampur Grant No. 18.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"27","Normal/Others","WS/MP18226/2025-2026/222578-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha of Gram Panchayat Babarpur Bargadiya.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"28","Normal/Others","WS/MP18226/2025-2026/222579-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Ambedkar Park in village Motipur of Gram Panchayat Grant No. 14.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"29","Normal/Others","WS/MP18226/2025-2026/222580-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Lochanpur Gurudwara in Village Dalpur in Gram Panchayat Dalpur Grant.","26-Jul-2025","27-Sep-2025","160967","Physical Inspection"
"30","Normal/Others","WS/MP18226/2025-2026/222588-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Chhatra veerbaba place in Gram Panchayat Grant No. 18.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"31","Normal/Others","WS/MP18226/2025-2026/222589-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the masjid in village Ujagarpur of Gram Panchayat Dalpur Grant.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"32","Normal/Others","WS/MP18226/2025-2026/222590-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near village Muradpur Masjid under Gram Panchayat Grant No. 18.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"33","Normal/Others","WS/MP18226/2025-2026/222591-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Banjarangwali temple in village Laxmipur of Gram Panchayat Koraiya Lohan.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"34","Normal/Others","WS/MP18226/2025-2026/222592-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Gram Panchayat Virandavan Ambedkar Park of Gram Panchayat Rampur Datpur.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"35","Normal/Others","WS/MP18226/2025-2026/222593-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the house of Shri Jagdish Prasad in village Bajar ganj of Gram Panchayat Koraiya Lohan.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"36","Normal/Others","WS/MP18226/2025-2026/222594-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Gurudwara in village Dhaurahra Buzurg of Gram Panchayat  Kushmori.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"37","Normal/Others","WS/MP18226/2025-2026/222595-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the house of Shri Sardar Rajwant Singh in village Manwapur Farm of Gram Panchayat Bhagoda.","26-Jul-2025","27-Sep-2025","156959","Physical Inspection"
"38","Normal/Others","WS/MP18226/2025-2026/233192-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Mata ji temple in village Sahyhibara of Gram Panchayat Behra Multan.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"39","Normal/Others","WS/MP18226/2025-2026/233193-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the temple of Baghun Bhuhar Baba in the village of Chandanapur Gram Panchayat.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"40","Normal/Others","WS/MP18226/2025-2026/233194-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Shankar ji Temple in Village Panchayat Mohaddinpur.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"41","Normal/Others","WS/MP18226/2025-2026/233195-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the gate of the cemetery in village Rasulpur of Gram Panchayat Rasulpur.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"42","Normal/Others","WS/MP18226/2025-2026/233196-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Gram Panchayat Harinagar Bazar.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"43","Normal/Others","WS/MP18226/2025-2026/233197-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Sher Singh Yadav Assembly Speaker, SP in village Panchayat Muda Khalsa.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"44","Normal/Others","WS/MP18226/2025-2026/233198-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the ancient Dev Sthal in Gram Panchayat Sisoukan.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"45","Normal/Others","WS/MP18226/2025-2026/233199-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the village Ashrafiganj (Bhooda) temple of Gram Panchayat Sheetlpur Grant.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"46","Normal/Others","WS/MP18226/2025-2026/233200-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Hanuman temple near Maheshpur bridge in Gram Panchayat Jungle No. 13.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"47","Normal/Others","WS/MP18226/2025-2026/233201-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light at the intersection of Shri Naeem Khan in village Kaparaha of Gram Panchayat Kaparaha","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"48","Normal/Others","WS/MP18226/2025-2026/233202-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Tedhnath Baba temple in Magdapur village panchayat.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"49","Normal/Others","WS/MP18226/2025-2026/233239-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light at Gram Panchayat Baghel Chauraha.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"50","Normal/Others","WS/MP18226/2025-2026/233240-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Pappu at village Pakaria intersection of Gram Panchayat Belhari.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"51","Normal/Others","WS/MP18226/2025-2026/233241-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in front of the Panchayat Bhawan in Gram Panchayat Gharathaniyan.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"52","Normal/Others","WS/MP18226/2025-2026/233242-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the temple by Thakur in Gram Panchayat Gharthaniyan.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"53","Normal/Others","WS/MP18226/2025-2026/233243-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Noorie Jama Masjid and Madrasa of Gram Panchayat Ameer Nagar","12-Sep-2025","28-Nov-2025","164641","Physical Inspection"
"54","Normal/Others","WS/MP18226/2025-2026/233244-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Kadri Masjid Chaturi road of Gram Panchayat Ameer Nagar.","12-Sep-2025","28-Nov-2025","167195","Physical Inspection"
"55","Normal/Others","WS/MP18226/2025-2026/233245-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mohammadpur Noori Masjid of Gram Panchayat Ameer Nagar village.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"56","Normal/Others","WS/MP18226/2025-2026/233246-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mujha Masjid of Gram Panchayat Parasan.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"57","Normal/Others","WS/MP18226/2025-2026/233247-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mohammadpur Raza Masjid in Gram Panchayat Amir Nagar village.","12-Sep-2025","28-Nov-2025","156974","Physical Inspection"
"58","Normal/Others","WS/MP18226/2025-2026/233248-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Auliya Masjid and Mazar of Gram Panchayat Amir Nagar.","12-Sep-2025","28-Nov-2025","170261","Physical Inspection"
"59","Normal/Others","WS/MP18226/2025-2026/233249-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Mohammadpur Idgah and Madrasa Masjid of Gram Panchayat Amir Nagar.","12-Sep-2025","28-Nov-2025","164641","Physical Inspection"
"60","Normal/Others","WS/MP18226/2025-2026/233272-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Durga Mata temple in Gram Panchayat Anjanapur","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"61","Normal/Others","WS/MP18226/2025-2026/233273-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Goge son of Shri Bhogai at the intersection in Gram Panchayat Sada.","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"62","Normal/Others","WS/MP18226/2025-2026/233274-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Gram Panchayat house in village Bedha Surtiha of Gram Panchayat Jungle No. 11","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"63","Normal/Others","WS/MP18226/2025-2026/233275-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in the playground of village Binauwa Nagar of Gram Panchayat Jungle No. 11.","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"64","Normal/Others","WS/MP18226/2025-2026/233276-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in from of Shri Manohar Yadav Pradhan son Shri Chandrabhal near Shiva temple in Gram Panchayat Narhar","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"65","Normal/Others","WS/MP18226/2025-2026/233277-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light in front of Shri Malti Prasad, near the place of Gupti Baba in village Mainha Ghat of Gram Panchayat Narhar","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"66","Normal/Others","WS/MP18226/2025-2026/233278-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Rajendra Singh son of Shri Amar Singh in village Bacchu Purva of Gram Panchayat Basaigapur","12-Sep-2025","28-Nov-2025","189169","Physical Inspection"
"67","Normal/Others","WS/MP18226/2025-2026/233279-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light at Mozmabad Gurudwara in Gram Panchayat Mozmabad","12-Sep-2025","28-Nov-2025","201435","Physical Inspection"
"68","Normal/Others","WS/MP18226/2025-2026/233280-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the house of Shri Chhote Salmani in village Deoria of Gram Panchayat Deoria.","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"69","Normal/Others","WS/MP18226/2025-2026/233281-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light at the mausoleum in Amritapur village panchayat","12-Sep-2025","28-Nov-2025","174861","Physical Inspection"
"70","Normal/Others","WS/MP18226/2025-2026/233354-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Singh Sabha Gurdwara Krhiya in Krhiya village of Gram Panchayat Deoria.","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"71","Normal/Others","WS/MP18226/2025-2026/233355-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Ambedkar Park in village Sabar Chaura of Gram Panchayat Rajapur","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"72","Normal/Others","WS/MP18226/2025-2026/233356-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the masjid in village Milpurwa of Gram Panchayat Sarwa.","12-Sep-2025","28-Nov-2025","174861","Physical Inspection"
"73","Normal/Others","WS/MP18226/2025-2026/233357-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Gram Panchayat Sikandrapur Gurudwara Shri Guru Singh Sabha Sikandrapur Amkota.","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"74","Normal/Others","WS/MP18226/2025-2026/233358-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the mosque in village Hazratpur of Gram Panchayat Hazratpur.","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"75","Normal/Others","WS/MP18226/2025-2026/233359-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Durga Devi temple in the village Gadarianpurwa of the Gram Panchayat Tetarpur","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"76","Normal/Others","WS/MP18226/2025-2026/233360-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near the Shiva temple in Rampurwa village of Gram Panchayat Narhar","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
"77","Normal/Others","WS/MP18226/2025-2026/233361-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Masjid Rasidiya in Hajipurwa of Gram Panchayat Odarhana.","12-Sep-2025","28-Nov-2025","172306","Physical Inspection"
"78","Normal/Others","WS/MP18226/2025-2026/233362-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of the 6th semi high mast light near Masjid Quba in Hajipurwa of Gram Panchayat Odarhana","12-Sep-2025","28-Nov-2025","156975","Physical Inspection"
