"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"21","Normal/Others","WS/MP086/2025-2026/209978-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell and pipe line for ward no.147 Bangalore Urban, BTM assembly constituency, GHI Police quartres","18-Jun-2025","19-Dec-2025","499239","Physical Inspection"
"22","Normal/Others","WS/MP086/2026-2027/245832-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of new borewell at Bangalore north talluk, Kadabagere grama panchayath, Arkavathi layout","04-Nov-2025","13-May-2026","400000","Work partially Completed"
"23","Normal/Others","WS/MP086/2026-2027/245846-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of Borewell at Bangalore South talluk, H gollagalli grama panchayath, Near apartment of Doddabele village","04-Nov-2025","13-May-2026","400000","Work partially Completed"
"24","Normal/Others","WS/MP086/2026-2027/245852-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of borewell at Bangalore south talluk, kumbalagudu grama panchayath, near government school of Anchepalya","04-Nov-2025","13-May-2026","400000","Work partially Completed"
"25","Normal/Others","WS/MP086/2026-2027/245856-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of new bore well at Bangalore south talluk, Somanahalli grama panchayath, Narigutte colony","04-Nov-2025","13-May-2026","400000","Work partially Completed"
"26","Repair and Renovation","WS/MP086/2026-2027/245861-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of borewell at Bangalore south talluk, K gollahalli grama panchayath, near the school of Gangasandra village","04-Nov-2025","13-May-2026","275000","Work partially Completed"
"27","Repair and Renovation","WS/MP086/2026-2027/245884-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore south talluk, K Gollahalli grama Panchayath, Near the milk booth of Gaviyanapalya village","04-Nov-2025","13-May-2026","260000","Work partially Completed"
"28","Repair and Renovation","WS/MP086/2026-2027/245897-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore south talluk, K gollahalli grama panchayath, near the bus stop of Tittahalli village","04-Nov-2025","13-May-2026","275000","Work partially Completed"
"29","Repair and Renovation","WS/MP086/2026-2027/245900-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore South talluk, K gollahalli grama panchayath, inside the village of Hampapura Janata colony","04-Nov-2025","13-May-2026","260000","Work partially Completed"
"30","Repair and Renovation","WS/MP086/2026-2027/245906-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore south talluk, Sulikere Grama panchayath, Chikkanahalli village","04-Nov-2025","13-May-2026","270000","Work partially Completed"
"31","Repair and Renovation","WS/MP086/2026-2027/245909-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of borewell at Bangalore South talluk, Sulikere grama panchayath, Near the bus stop of Chikkabasti village","04-Nov-2025","13-May-2026","260000","Work partially Completed"
"32","Repair and Renovation","WS/MP086/2026-2027/245925-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore South talluk, Ajjanahalli grama panchayath, Near Huluvenahalli SLN","04-Nov-2025","13-May-2026","500000","Work partially Completed"
"33","Repair and Renovation","WS/MP086/2026-2027/245930-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of Borewell at Bangalore South Talluk, Tavarekere Grama Panchayath, Near BWSSB pipe line","04-Nov-2025","13-May-2026","230000","Work partially Completed"
"34","Repair and Renovation","WS/MP086/2026-2027/245950-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore South talluk, Cholanayakanahalli grama panchayath, Kempagondanahalli Nagamadayana estate","04-Nov-2025","13-May-2026","270000","Work partially Completed"
"35","Repair and Renovation","WS/MP086/2026-2027/245970-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell at Bangalore South taluk, Kengeri Hobali, H gollahalli grama panchayath, Nagegowdanahalli village","04-Nov-2025","13-May-2026","260000","Work partially Completed"
"36","Repair and Renovation","WS/MP086/2026-2027/245982-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of borewell at Bangalore South talluk, Sulikere grama panchayath, Ramsandra Layout","04-Nov-2025","13-May-2026","260000","Work partially Completed"
"37","Normal/Others","WS/MP086/2026-2027/245984-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of borewell at Bangalore South talluk, K gollahalli grama panchayath, Tagachaguppe village, Janatha colony","04-Nov-2025","13-May-2026","280000","Work partially Completed"
"38","Normal/Others","WS/MP086/2026-2027/256881-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of Borewell at Dattatreya ward no.61, Bangalore District, Gandhinagar Assembly constituency","03-Jan-2026","01-Aug-2026","300000","Physical Inspection"
